num_total_eo,num_nonceremonial_eo,num_eos,numdisasterdeclare,num_ceremonial_eo,num_routine_eo,num_pardon_eo,st,year,house_polarization,house_polarization_impute,senate_polarization,house_polarization_stdev,governor_election_year,gov_republican,gov_democrat,term_limited,governor_power,divided_gov1,divided_gov2,veto_proof,ln_state_income_growth,annual_salary2015,permanent_staff,governor_prior_vote,governor_party_pres_vote,average_polarization,senate_polarization_bonica,house_polarization_bonica,govfe,ln_legislative_staff,ln_legislative_salary,house_polarization_maj_pty_het,gov_party_size,rule_review_dichotomous,rule_review_scale,state_fe,num_disaster_eo,num_nonroutine_eo,panel_length,gov_time_in_office,ln_state_expenditures,maj_control_index
1,1,1,0,0,0,0,AK,1998,1.2089999914169312,1.2089999914169312,1.875,0.5956041216850281,1,0,1,0,3.875,1,1,0,4.570000171661377,21771.689453125,257,0.5015327334403992,0.3327000141143799,1.5420000553131104,0.9726880192756653,0.8980910778045654,Alaska-Tony Knowles,5.552958965301514,9.988411903381348,0.08783020079135895,0.375,1,1,2,0,0,17,4,15.469959259033203,0
0,0,0,0,0,0,0,AK,1999,1.1610000133514404,1.1610000133514404,1.7640000581741333,0.6015663146972656,0,0,1,1,3.858299970626831,1,1,0,3.2100000381469727,21771.689453125,267,0.7416003942489624,0.3327000141143799,1.462499976158142,0.9726880192756653,0.8980910778045654,Alaska-Tony Knowles,5.590987205505371,9.988411903381348,0.11461620032787323,0.3499999940395355,1,1,2,0,0,17,5,15.533252716064453,0
1,1,1,0,0,0,0,AK,2000,1.1610000133514404,1.1610000133514404,1.7640000581741333,0.6015663146972656,0,0,1,1,3.841599941253662,1,1,0,7.53000020980835,21771.689453125,277,0.7416003942489624,0.2766999900341034,1.462499976158142,0.9303603172302246,1.2715840339660645,Alaska-Tony Knowles,5.627621173858643,9.988411903381348,0.11461620032787323,0.3499999940395355,1,1,2,0,1,17,6,15.602622985839844,0
1,1,1,0,0,0,0,AK,2001,1.2920000553131104,1.2920000553131104,1.5770000219345093,0.6035796403884888,0,0,1,1,3.825000047683716,1,1,1,5.21999979019165,21771.689453125,287,0.7416003942489624,0.2766999900341034,1.434499979019165,0.9303603172302246,1.2715840339660645,Alaska-Tony Knowles,5.662961006164551,9.988411903381348,0.11943110078573227,0.32499998807907104,1,1,2,0,1,17,7,15.673931121826172,0
1,1,1,0,0,0,0,AK,2002,1.2920000553131104,1.2920000553131104,1.5770000219345093,0.6035796403884888,1,0,1,1,3.75,1,1,1,4.550000190734863,21771.689453125,297,0.7416003942489624,0.2766999900341034,1.434499979019165,1.126729965209961,1.1409169435501099,Alaska-Tony Knowles,5.6970930099487305,9.988411903381348,0.11943110078573227,0.32499998807907104,1,1,2,0,0,17,8,15.717954635620117,0
8,8,8,0,0,0,0,AK,2003,1.2860000133514404,1.2860000133514404,1.6660000085830688,0.6020646691322327,0,1,0,0,3.9375,0,0,0,3.990000009536743,21771.689453125,307,0.5784424543380737,0.5861999988555908,1.4759999513626099,1.126729965209961,1.1409169435501099,Alaska-Frank Murkowski,5.730100154876709,9.988411903381348,0.10371030122041702,0.675000011920929,1,2,2,0,4,17,1,15.777223587036133,0
2,2,2,0,0,0,0,AK,2004,1.2860000133514404,1.2860000133514404,1.6660000085830688,0.6020646691322327,0,1,0,0,4.125,0,0,0,4.300000190734863,21771.689453125,310,0.5784424543380737,0.6107000112533569,1.4759999513626099,1.2313690185546875,1.2733420133590698,Alaska-Frank Murkowski,5.739792823791504,9.988411903381348,0.10371030122041702,0.675000011920929,1,2,2,0,0,17,2,15.737542152404785,0
0,0,0,0,0,0,0,AK,2005,1.184999942779541,1.184999942779541,1.4889999628067017,0.6063227653503418,0,1,0,0,4.125,0,0,0,5.849999904632568,21771.689453125,313,0.5784424543380737,0.6107000112533569,1.3370000123977661,1.2313690185546875,1.2733420133590698,Alaska-Frank Murkowski,5.749392986297607,9.988411903381348,0.1285323053598404,0.6499999761581421,1,2,2,0,0,17,3,15.777727127075195,0
0,0,0,0,0,0,0,AK,2006,1.184999942779541,1.184999942779541,1.4889999628067017,0.6063227653503418,1,1,0,0,4.125,0,0,0,6.03000020980835,21771.689453125,316,0.5784424543380737,0.6107000112533569,1.3370000123977661,1.2916719913482666,1.2883579730987549,Alaska-Frank Murkowski,5.758902072906494,9.988411903381348,0.1285323053598404,0.6499999761581421,1,2,2,0,0,17,4,15.834169387817383,0
0,0,0,0,0,0,0,AK,2007,1.2680000066757202,1.2680000066757202,1.4930000305175781,0.6605713963508606,0,1,0,0,4.125,0,0,0,7.449999809265137,21771.689453125,319,0.5411894917488098,0.6107000112533569,1.3804999589920044,1.2916719913482666,1.2883579730987549,Alaska-Sarah Palin,5.7683210372924805,9.988411903381348,0.13302840292453766,0.6499999761581421,1,2,2,0,0,17,1,15.930636405944824,0
1,1,1,0,0,0,0,AK,2008,1.2660000324249268,1.2660000324249268,1.4930000305175781,0.6610668301582336,0,1,0,0,4.125,0,0,0,9.069999694824219,21771.689453125,322,0.5411894917488098,0.5942000150680542,1.3795000314712524,1.2123769521713257,1.4543709754943848,Alaska-Sarah Palin,5.777651786804199,9.988411903381348,0.13323639333248138,0.574999988079071,1,2,2,0,0,17,2,16.02910614013672,0
0,0,0,0,0,0,0,AK,2009,NA,1.2786667346954346,NA,NA,0,1,0,0,4.125,1,0,0,-0.28999999165534973,21771.689453125,325,0.5411894917488098,0.5942000150680542,NA,1.2123769521713257,1.4543709754943848,Alaska-Sean Parnell,5.7868971824646,9.988411903381348,NA,0.550000011920929,1,2,2,0,0,17,1,16.10767364501953,0
0,0,0,0,0,0,0,AK,2010,NA,1.2913333177566528,NA,NA,1,1,0,0,4.125,1,0,0,5.510000228881836,45697.7109375,328,0.5411894917488098,0.5942000150680542,NA,1.3255380392074585,1.3590019941329956,Alaska-Sean Parnell,5.796058177947998,10.729829788208008,NA,0.550000011920929,1,2,2,0,0,17,2,16.091014862060547,0
1,1,1,0,0,0,0,AK,2011,1.3040000200271606,1.3040000200271606,1.4290000200271606,0.6713166832923889,0,1,0,0,4.125,1,0,0,6.670000076293945,45697.7109375,331,0.6105545163154602,0.5942000150680542,1.3665000200271606,1.3255380392074585,1.3590019941329956,Alaska-Sean Parnell,5.8051347732543945,10.729829788208008,0.19417929649353027,0.6000000238418579,1,2,2,0,1,17,3,16.113698959350586,0
1,1,1,0,0,0,0,AK,2012,1.3040000200271606,1.3040000200271606,1.4290000200271606,0.6713166832923889,0,1,0,0,4.125,1,0,0,3.8299999237060547,45697.7109375,334,0.6105545163154602,0.5479999780654907,1.3665000200271606,1.2993429899215698,1.5187439918518066,Alaska-Sean Parnell,5.814129829406738,10.729829788208008,0.19417929649353027,0.550000011920929,1,2,2,0,0,17,4,16.1440372467041,0
0,0,0,0,0,0,0,AK,2013,1.3170000314712524,1.3170000314712524,1.5499999523162842,0.7067289352416992,0,1,0,0,4.125,0,0,0,1.7100000381469727,45697.7109375,337,0.6105545163154602,0.5479999780654907,1.433500051498413,1.2993429899215698,1.5187439918518066,Alaska-Sean Parnell,5.8230462074279785,10.729829788208008,0.2264806032180786,0.625,1,2,2,0,0,17,5,16.186426162719727,0
28,28,27,0,0,0,0,AZ,1993,NA,NA,NA,NA,0,1,0,0,3.7291500568389893,0,0,0,7.670000076293945,13600.509765625,388.75,0.5020566582679749,0.3847000002861023,NA,NA,NA,Arizona-Fife Symington,5.965506076812744,9.517935752868652,NA,0.5833333134651184,0,0,3,0,19,19,3,15.988258361816406,1
17,17,17,1,0,0,0,AZ,1994,NA,NA,NA,NA,1,1,0,0,3.625,0,0,0,9.720000267028809,13600.509765625,416.5,0.5020566582679749,0.3847000002861023,NA,NA,NA,Arizona-Fife Symington,6.034285068511963,9.517935752868652,NA,0.5833333134651184,1,1,3,1,14,19,4,16.0699520111084,1
18,18,18,0,0,0,0,AZ,1995,NA,NA,NA,NA,0,1,0,0,3.625,0,0,0,8.8100004196167,13600.509765625,444.25,0.5424010753631592,0.3847000002861023,NA,NA,NA,Arizona-Fife Symington,6.098636150360107,9.517935752868652,NA,0.6333333253860474,1,1,3,0,13,19,5,16.110837936401367,1
16,16,16,0,0,0,0,AZ,1996,1.659999966621399,1.659999966621399,1.4479999542236328,0.8595813512802124,0,1,0,0,3.625,0,0,0,8.390000343322754,13600.509765625,472,0.5424010753631592,0.44290000200271606,1.5540000200271606,1.1836320161819458,1.1118229627609253,Arizona-Fife Symington,6.15909481048584,9.517935752868652,0.39519020915031433,0.6333333253860474,1,1,3,0,16,19,6,16.196718215942383,1
